Protein	Entry	Protein description	Gene.names	Gene	Mitochondrion	Annotation (general)	AgingAnnotation (elife paper)	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval
PA24C_HUMAN	Q9UP65	Cytosolic phospholipase A2 gamma (cPLA2-gamma) (EC 3.1.1.4) (Cytosolic lysophospholipase) (EC 3.1.1.5) (Cytosolic lysophospholipid O-acyltransferase) (EC 2.3.1.-) (Phospholipase A2 group IVC)	PLA2G4C	PLA2G4C	TRUE	Metabolism	Others	ENSG00000105499	PLA2G4C	protein_coding	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	-0.191240458310564	0.195806775154282	0.530155331773588	-0.435081068950236	-0.0954572809778286	0.267945934470593	0	0.317996723066601	0.60948286694923
PAG15_HUMAN	Q8NCC3	Phospholipase A2 group XV (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (EC 3.1.1.5) (Lysophospholipase 3) (Lysosomal phospholipase A and acyltransferase) (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4) (Lysosomal phospholipase A2) (LPLA2)	PLA2G15 LYPLA3 UNQ341/PRO540	PLA2G15	FALSE	Metabolism	Others	ENSG00000103066	PLA2G15	protein_coding	phospholipase A2 group XV [Source:HGNC Symbol;Acc:HGNC:17163]	-0.596453767117865	0.603274462802514	0.969516755124218	-0.912777154744515	-0.156716536100206	0.84196477004866	0	0.28142677345696	0.80128212135006
PAHX_HUMAN	O14832	Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)	PHYH PAHX	PHYH	FALSE	Metabolism	Others	ENSG00000107537	PHYH	protein_coding	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	-0.184182982410526	0.20283138763286	0.535394126556024	-0.358940480757756	-0.00527072917336534	0.349722543306668	0	0.300594573898609	0.977550209387518
PCY1A_HUMAN	P49585	Choline-phosphate cytidylyltransferase A (EC 2.7.7.15) (CCT-alpha) (CTP:phosphocholine cytidylyltransferase A) (CCT A) (CT A) (Phosphorylcholine transferase A)	PCYT1A CTPCT PCYT1	PCYT1A	FALSE	Metabolism	Others	ENSG00000161217	PCYT1A	protein_coding	phosphate cytidylyltransferase 1, choline, alpha [Source:HGNC Symbol;Acc:HGNC:8754]	-0.382067088425019	-0.0104846455584804	0.364016161149777	-0.297089135848539	0.06398692614379	0.409052542477247	0	0.957770623306201	0.732370115822528
PCY2_HUMAN	Q99447	Ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine transferase)	PCYT2	PCYT2	FALSE	Metabolism	Others	ENSG00000185813	PCYT2	protein_coding	phosphate cytidylyltransferase 2, ethanolamine [Source:HGNC Symbol;Acc:HGNC:8756]	-0.541115135183552	-0.210541892849708	0.176390189267445	-0.178395643695255	0.187816895609311	0.50832729455014	1	0.282195097332728	0.311639633514346
PDE4D_HUMAN	Q08499	cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43)	PDE4D DPDE3	PDE4D	FALSE	Metabolism	Others	ENSG00000113448	PDE4D	protein_coding	phosphodiesterase 4D [Source:HGNC Symbol;Acc:HGNC:8783]	-0.25232178420975	0.228020188580485	0.61820288966948	-0.522794127948358	-0.104433825950643	0.354468408258238	0	0.347786572789611	0.661262139049973
PGES2_HUMAN	Q9H7Z7	Prostaglandin E synthase 2 (EC 5.3.99.3) (Membrane-associated prostaglandin E synthase-2) (mPGE synthase-2) (Microsomal prostaglandin E synthase 2) (mPGES-2) (Prostaglandin-H(2) E-isomerase) [Cleaved into: Prostaglandin E synthase 2 truncated form]	PTGES2 C9orf15 PGES2	PTGES2	FALSE	Metabolism	Others	ENSG00000148334	PTGES2	protein_coding	prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]	0.0144195422436185	0.385423049576565	0.663144768796396	-0.452778835192027	-0.117250043383853	0.247367295737918	-1	0.0428157665599398	0.529895158895349
PGM1_HUMAN	P36871	Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)	PGM1	PGM1	FALSE	Metabolism	Others	ENSG00000079739	PGM1	protein_coding	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	-0.516040625294261	-0.177049835972056	0.209891071445066	-0.469750919388773	-0.138457225881467	0.227020747551316	0	0.367431077389081	0.45759872332883
PGM2_HUMAN	Q96G03	Phosphoglucomutase-2 (PGM 2) (EC 5.4.2.2) (Glucose phosphomutase 2) (Phosphodeoxyribomutase) (Phosphopentomutase) (EC 5.4.2.7)	PGM2 MSTP006	PGM2	FALSE	Metabolism	Others	ENSG00000169299	PGM2	protein_coding	phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]	-0.0593162195725209	0.320861211385399	0.619750356354858	-0.416147035427314	-0.0724971741567322	0.289274006571791	-1	0.0959566998879392	0.698334062951111
PGM2L_HUMAN	Q6PCE3	Glucose 1,6-bisphosphate synthase (EC 2.7.1.106) (PMMLP) (Phosphoglucomutase-2-like 1)	PGM2L1 BM32A	PGM2L1	FALSE	Metabolism	Others	ENSG00000165434	PGM2L1	protein_coding	phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898]	-0.435312801134197	-0.074303075625125	0.307292228079696	-0.440391509284986	-0.101962467257045	0.261837689375163	0	0.707088372006124	0.585203742152318
PGM5_HUMAN	Q15124	Phosphoglucomutase-like protein 5 (Aciculin) (Phosphoglucomutase-related protein) (PGM-RP)	PGM5 PGMRP	PGM5	FALSE	Metabolism	Others	ENSG00000154330	PGM5	protein_coding	phosphoglucomutase 5 [Source:HGNC Symbol;Acc:HGNC:8908]	-0.404148180348293	-0.0365879180968416	0.341145686002234	-0.205248965856162	0.160784694124537	0.487358781525311	0	0.853354722378054	0.387552243141709
PGP_HUMAN	A6NDG6	Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)	PGP	PGP	FALSE	Metabolism	Others	ENSG00000184207	PGP	protein_coding	phosphoglycolate phosphatase [Source:HGNC Symbol;Acc:HGNC:8909]	-0.228491565326531	0.15805910045418	0.501559940312957	-0.373382243881301	-0.0219456247114337	0.334999523590644	0	0.421797481820196	0.906716831733684
PLCA_HUMAN	Q99943	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 1) (1-AGP acyltransferase 1) (1-AGPAT 1) (Lysophosphatidic acid acyltransferase alpha) (LPAAT-alpha) (Protein G15)	AGPAT1 G15	AGPAT1	FALSE	Metabolism	Others	ENSG00000204310	AGPAT1	protein_coding	1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]	-0.768861918563966	-0.402464904915138	0.162900258331152	-0.758007706606216	-0.401740288796708	0.13916152753345	0	0.15367539099563	0.137721241627391
PLCB1_HUMAN	Q9NQ66	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 (EC 3.1.4.11) (PLC-154) (Phosphoinositide phospholipase C-beta-1) (Phospholipase C-I) (PLC-I) (Phospholipase C-beta-1) (PLC-beta-1)	PLCB1 KIAA0581	PLCB1	FALSE	Metabolism	Others	ENSG00000182621	PLCB1	protein_coding	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	-0.458091979093372	-0.10253939736797	0.28129863394742	-0.138145328821701	0.227322316756463	0.538302485295604	0	0.603606083329562	0.21875555157001
PLCC_HUMAN	Q9NRZ7	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 3) (1-AGP acyltransferase 3) (1-AGPAT 3) (Lysophosphatidic acid acyltransferase gamma) (LPAAT-gamma)	AGPAT3 LPAAT3 UNQ759/PRO1490	AGPAT3	FALSE	Metabolism	Others	ENSG00000160216	AGPAT3	protein_coding	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	-0.249744812149265	0.181100856064576	0.552089461823193	-0.109943321115681	0.289748047962734	0.608774504156045	0	0.408256810729541	0.1510645150205
PLCD1_HUMAN	P51178	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)	PLCD1	PLCD1	FALSE	Metabolism	Others	ENSG00000187091	PLCD1	protein_coding	phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]	-0.411691144808096	-0.0456213050287932	0.33312550507198	-0.74321692286204	-0.52790013392176	-0.213495709471828	-1	0.817688633017175	0.00227164414472138
PLCD3_HUMAN	Q8N3E9	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-3) (Phospholipase C-delta-3) (PLC-delta-3)	PLCD3 KIAA1964	PLCD3	FALSE	Metabolism	Others	ENSG00000161714	PLCD3	protein_coding	phospholipase C delta 3 [Source:HGNC Symbol;Acc:HGNC:9061]	-0.371567974974508	0.001751793232236	0.374583911158825	-0.246790292232445	0.117856070119307	0.453267236207557	0	0.992941224528007	0.527755701087995
PLCD4_HUMAN	Q9BRC7	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 (hPLCD4) (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-4) (Phospholipase C-delta-4) (PLC-delta-4)	PLCD4	PLCD4	FALSE	Metabolism	Others	ENSG00000115556	PLCD4	protein_coding	phospholipase C delta 4 [Source:HGNC Symbol;Acc:HGNC:9062]	-0.0942160834797999	0.289019848597459	0.597653779786146	-0.336620250544711	0.0201197092218958	0.371809120025344	0	0.135786118041654	0.914448634167727
PLCG1_HUMAN	P19174	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)	PLCG1 PLC1	PLCG1	FALSE	Metabolism	Others	ENSG00000124181	PLCG1	protein_coding	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	-0.721394749254815	-0.47658346215154	-0.125890078295237	-0.483745406175381	-0.156175369695745	0.209773444632215	0	0.0103478265899971	0.401480429706235
PLD3_HUMAN	Q8IV08	5'-3' exonuclease PLD3 (EC 3.1.16.1) (Choline phosphatase 3) (HindIII K4L homolog) (Hu-K4) (Phosphatidylcholine-hydrolyzing phospholipase D3) (Phospholipase D3) (PLD 3)	PLD3	PLD3	FALSE	Metabolism	Others	ENSG00000105223	PLD3	protein_coding	phospholipase D family member 3 [Source:HGNC Symbol;Acc:HGNC:17158]	-0.321515084871294	0.278872505552674	0.719329485967606	-0.500385466534099	-0.00622394808912258	0.490996225009651	0	0.356180293135192	0.981748956887771
PLIN1_HUMAN	O60240	Perilipin-1 (Lipid droplet-associated protein)	PLIN1 PERI PLIN	PLIN1	FALSE	Metabolism	Others	ENSG00000166819	PLIN1	protein_coding	perilipin 1 [Source:HGNC Symbol;Acc:HGNC:9076]	-0.344082758844483	0.0332642838907793	0.40136027653107	-0.499212674219181	-0.176006541308232	0.190195334865153	0	0.866552454876785	0.343580667408205
PLPL2_HUMAN	Q96AD5	Patatin-like phospholipase domain-containing protein 2 (EC 3.1.1.3) (Adipose triglyceride lipase) (Calcium-independent phospholipase A2) (Desnutrin) (IPLA2-zeta) (Pigment epithelium-derived factor) (TTS2.2) (Transport-secretion protein 2) (TTS2)	PNPLA2 ATGL FP17548	PNPLA2	FALSE	Metabolism	Others	ENSG00000177666	PNPLA2	protein_coding	patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]	-0.925543016465684	-0.678440519959722	-0.0260610739353484	-0.771531748341066	-0.275960740260862	0.428038095134085	0	0.0445426765117219	0.44024504119635
PLPL6_HUMAN	Q8IY17	Patatin-like phospholipase domain-containing protein 6 (EC 3.1.1.5) (Neuropathy target esterase)	PNPLA6 NTE	PNPLA6	FALSE	Metabolism	Others	ENSG00000032444	PNPLA6	protein_coding	patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]	-0.516841552420302	-0.178107633102481	0.208846710100417	-0.401287448470077	-0.0547294288036285	0.305535897522236	0	0.364529290424361	0.769967456576091
PMVK_HUMAN	Q15126	Phosphomevalonate kinase (PMKase) (hPMK) (EC 2.7.4.2)	PMVK PMKI	PMVK	FALSE	Metabolism	Others	ENSG00000163344	PMVK	protein_coding	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]	-0.359112684472965	0.0623135870283204	0.462632674717536	-0.296657763194228	0.102468985137973	0.47112138143027	0	0.777595197369731	0.618407085890736
PNPH_HUMAN	P00491	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	PNP NP	PNP	FALSE	Metabolism	Others	ENSG00000198805	PNP	protein_coding	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	-0.379248322753794	-0.00718848413976096	0.366872343842702	-0.459887429078524	-0.12609537928622	0.238919834536131	0	0.971039943009214	0.499088815830658
PNPO_HUMAN	Q9NVS9	Pyridoxine-5'-phosphate oxidase (EC 1.4.3.5) (Pyridoxamine-phosphate oxidase)	PNPO	PNPO	FALSE	Metabolism	Others	ENSG00000108439	PNPO	protein_coding	pyridoxamine 5'-phosphate oxidase [Source:HGNC Symbol;Acc:HGNC:30260]	-0.355946486613797	0.0197536341769399	0.389956727865719	-0.188866330437686	0.177342036010423	0.500246939231662	0	0.920526681490024	0.33987287770864
PP1A_HUMAN	P62136	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	PPP1CA	FALSE	Metabolism	Others	ENSG00000172531	PPP1CA	protein_coding	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	-0.526339493662379	-0.0947919582265469	0.375588433806062	-0.482916052347546	-0.0513738906151344	0.400246091895905	0	0.699490193522261	0.829690219728292
PP1B_HUMAN	P62140	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	PPP1CB	FALSE	Metabolism	Others	ENSG00000213639	PPP1CB	protein_coding	protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282]	-0.750619719538109	-0.524393318860265	-0.188120010085381	-0.272196751258868	0.0909118360767537	0.43135636667253	1	0.00417556226747681	0.626694879941845
PPR3A_HUMAN	Q16821	Protein phosphatase 1 regulatory subunit 3A (Protein phosphatase 1 glycogen-associated regulatory subunit) (Protein phosphatase type-1 glycogen targeting subunit) (RG1)	PPP1R3A PP1G	PPP1R3A	FALSE	Metabolism	Others	ENSG00000154415	PPP1R3A	protein_coding	protein phosphatase 1 regulatory subunit 3A [Source:HGNC Symbol;Acc:HGNC:9291]	-0.57462411985796	-0.256545066513417	0.12886573645148	-0.598597203304848	-0.310013015603572	0.0497973450838617	0	0.187570636180394	0.0896490529326227
PPR3B_HUMAN	Q86XI6	Protein phosphatase 1 regulatory subunit 3B (Hepatic glycogen-targeting protein phosphatase 1 regulatory subunit GL) (Protein phosphatase 1 regulatory subunit 4) (PP1 subunit R4) (Protein phosphatase 1 subunit GL) (PTG)	PPP1R3B PPP1R4	PPP1R3B	FALSE	Metabolism	Others	ENSG00000173281	PPP1R3B	protein_coding	protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]	-0.0734760464148815	0.349305542008837	0.665662616255173	-0.32842742817076	0.0675133576236509	0.443273071828772	0	0.102316425078747	0.743141997566394
PPR3C_HUMAN	Q9UQK1	Protein phosphatase 1 regulatory subunit 3C (Protein phosphatase 1 regulatory subunit 5) (PP1 subunit R5) (Protein targeting to glycogen) (PTG)	PPP1R3C PPP1R5	PPP1R3C	FALSE	Metabolism	Others	ENSG00000119938	PPP1R3C	protein_coding	protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]	-0.568827514622915	-0.168795630405451	0.295821725445467	-0.551101379567835	-0.143601159911429	0.319203912927419	0	0.476835818856725	0.545845819685059
PPR3D_HUMAN	O95685	Protein phosphatase 1 regulatory subunit 3D (Protein phosphatase 1 regulatory subunit 6) (PP1 subunit R6) (Protein phosphatase 1-binding subunit R6)	PPP1R3D PPP1R6	PPP1R3D	FALSE	Metabolism	Others	ENSG00000132825	PPP1R3D	protein_coding	protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294]	-0.801470654332548	0.275857661777404	0.931432169591474	-0.995160706761776	-0.925339293214554	-0.234596296486421	-1	0.65327405432115	0.0242129428654884
PRDX2_HUMAN	P32119	Peroxiredoxin-2 (EC 1.11.1.24) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thioredoxin-dependent peroxiredoxin 2)	PRDX2 NKEFB TDPX1	PRDX2	FALSE	Metabolism	Others	ENSG00000167815	PRDX2	protein_coding	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	-0.457865485740384	-0.10225579476608	0.281562541463182	-0.422399940914248	-0.080039609110374	0.282307091266282	0	0.604613082732905	0.668639300086231
PRDX6_HUMAN	P30041	Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (24 kDa protein) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Antioxidant protein 2) (Glutathione-dependent peroxiredoxin) (Liver 2D page spot 40) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx) (Red blood cells page spot 12)	PRDX6 AOP2 KIAA0106	PRDX6	FALSE	Metabolism	Others	ENSG00000117592	PRDX6	protein_coding	peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]	-0.41719428110728	-0.0522498022942091	0.327205405330367	-0.206572123158716	0.159438374049813	0.486304519469512	0	0.791737647647351	0.391591321502728
PTGDS_HUMAN	P41222	Prostaglandin-H2 D-isomerase (EC 5.3.99.2) (Beta-trace protein) (Cerebrin-28) (Glutathione-independent PGD synthase) (Lipocalin-type prostaglandin-D synthase) (L-PGDS) (Prostaglandin-D2 synthase) (PGD2 synthase) (PGDS) (PGDS2)	PTGDS PDS	PTGDS	FALSE	Metabolism	Others	ENSG00000107317	PTGDS	protein_coding	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	-0.740275598997766	0.409337385530508	0.948910042944904	-0.931250216394817	-0.274589440623958	0.801960860711829	0	0.493759825254675	0.654826442318083
PTGIS_HUMAN	Q16647	Prostacyclin synthase (EC 5.3.99.4) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Prostaglandin I2 synthase)	PTGIS CYP8 CYP8A1	PTGIS	FALSE	Metabolism	Others	ENSG00000124212	PTGIS	protein_coding	prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]	-0.379135520672301	0.10660425546858	0.546285515156783	-0.205449546295732	0.248254926093833	0.614126743765419	0	0.673742762653939	0.277883883779619
PUR2_HUMAN	P22102	Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)]	GART PGFT PRGS	GART	FALSE	Metabolism	Others	ENSG00000159131	GART	protein_coding	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]	-0.352780799780895	0.0233722534000511	0.39302216685196	-0.584059488458664	-0.289667766640288	0.0720696475335808	0	0.906026768760271	0.113963296300007
PUR4_HUMAN	O15067	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase)	PFAS KIAA0361	PFAS	FALSE	Metabolism	Others	ENSG00000178921	PFAS	protein_coding	phosphoribosylformylglycinamidine synthase [Source:HGNC Symbol;Acc:HGNC:8863]	-0.646523073871979	-0.36036790942953	0.014683085976498	-0.289445543922879	0.0723109431098292	0.415992232037744	1	0.0595916300487582	0.69907304068119
PUR6_HUMAN	P22234	Multifunctional protein ADE2 [Includes: Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase); Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)]	PAICS ADE2 AIRC PAIS	PAICS	FALSE	Metabolism	Others	ENSG00000128050	PAICS	protein_coding	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase [Source:HGNC Symbol;Acc:HGNC:8587]	-0.463096829095726	-0.108820982443155	0.275438357274102	-0.660645941805898	-0.399925796190698	-0.0531121919992308	0	0.581486515844493	0.0258042842608232
PURA1_HUMAN	Q8N142	Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (Adenylosuccinate synthetase-like 1) (AdSSL1) (IMP--aspartate ligase 1)	ADSS1 ADSSL1	ADSS1	FALSE	Metabolism	Others	ENSG00000185100	ADSSL1	protein_coding	adenylosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:20093]	-0.712745178222872	-0.462705779983761	-0.108329155781173	-0.524005997863493	-0.208351897410879	0.157625293812583	0	0.0131628425487913	0.260681665239966
PURA2_HUMAN	P30520	Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)	ADSS2 ADSS	ADSS2	TRUE	Metabolism	Others	ENSG00000035687	ADSS	protein_coding	adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]	-0.387839866216923	0.0289982082969977	0.435988954296402	-0.577169169215859	-0.244473607132574	0.157823826033814	0	0.895504609144384	0.228729933673988
PYGB_HUMAN	P11216	Glycogen phosphorylase, brain form (EC 2.4.1.1)	PYGB	PYGB	FALSE	Metabolism	Others	ENSG00000100994	PYGB	protein_coding	glycogen phosphorylase B [Source:HGNC Symbol;Acc:HGNC:9723]	-0.355797429642194	0.0199242386618278	0.390101436493056	-0.561861499467419	-0.259107013272962	0.104860565956767	0	0.919842469454867	0.159269189337908
PYGL_HUMAN	P06737	Glycogen phosphorylase, liver form (EC 2.4.1.1)	PYGL	PYGL	FALSE	Metabolism	Others	ENSG00000100504	PYGL	protein_coding	glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725]	-0.0076094244349571	0.366507983940677	0.650621714563634	-0.573555306305675	-0.275131082118772	0.0877652724786332	-1	0.0550711634470349	0.134134151537173
